Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,"Original name
Surname, first name",hours
1,5:52:13 h,"Bublak, Benjamin",Alles-Laufbar.de,GER,1988,M,1,M35,1,11.243,5:50:17 h,594024,3. Ultratrail Fränkische Schweiz (GER),20.04.2024,66km  trail race,,
4,6:51:29 h,"Collison, Kim",,GBR,1980,M,4,M40,1,11.733,6:29:34 h,449057,12th South Downs Way 50 Mile Race (GBR),13.04.2024,50mi  trail race,,
55,8:46:33 h,"Thomas, Hywel",,GBR,1965,M,48,M55,2,9.169,7:17:03 h,1455984,12th South Downs Way 50 Mile Race (GBR),13.04.2024,50mi  trail race,,
289,7:46:12 h,,"*Abbotsford, BC",CAN,1961,M,213,M60,5,6.435,6:12:27 h,243278,26th Diez Vista 50K Trail Run (CAN),13.04.2024,50km  trail race,"Schofield, Peter",
4,6:14:37 h,"Greenwood, John",,GBR,1975,M,3,M45,1,8.764,5:40:05 h,645568,2nd Skipton Skedaddle Ultra 34mi (GBR),13.04.2024,34mi  trail race,,
47,10:19:55 h,"Preston, Lewis",,GBR,1989,M,32,M23,5,5.296,10:18:08 h,2166532,2nd Skipton Skedaddle Ultra 34mi (GBR),13.04.2024,34mi  trail race,,
45,28:03:22 h,"Kitts, Andrew",Kirkby Milers,GBR,1983,M,42,M40,12,5.736,26:59:55 h,400535,Chester Ultra 100 (GBR),13.-14.04.2024,100mi  trail race,,
31,25:51:12 h,,,HUN,1970,M,27,M50,2,6.498,22:27:51 h,120536,12th Istria 100 by UTMB - Red Course (CRO),05.-07.04.2024,168km  trail race,"Medgyessy, Gergely",
22,7:27:58 h,,Horwich RMI Harriers,GBR,1971,M,21,M50,2,10.778,6:29:15 h,2001864,Manchester to Liverpool Ultra 50 (GBR),29.03.2024,50mi  trail race,"Goudge, Julian Paul",
6,10:12:50 h,"Barker, Peter",,GBR,1970,M,5,M50,1,7.878,8:52:30 h,768236,TrailFest Salcey Forest 50 mile (GBR),24.03.2024,50mi  trail race,,
8,3:50:28 h,,Serpentine RC,NZL,1991,M,8,M23,3,13.017,3:50:26 h,1182755,4th London Lea Valley 50 km (GBR),23.03.2024,50km  trail race,"Girvan, Matthew",
50,93.884 km,"Mead, Daniel",,USA,1983,M,37,M40,8,,96.828 km,1607991,6th Ohio's Backyard Ultra (USA),23.-25.03.2024,44h  Backyard Ultra,,14
39,6:53:05 h,"Slone, Paul",,GBR,,M,35,#NA,14,6.536,6:53:05 h,2125954,Jurassic Coast Challenge Day 1 (GBR),22.03.2024,45km  stage race,,
8,4:17:37 h,,,IRL,1979,M,8,M40,1,11.620,4:01:53 h,276348,2nd Hundred Hills 50km (GBR),16.03.2024,31mi  trail race,"Shannon, Mark",
9,3:49:49 h,"Symonds, Andy",Scott Running,GBR,1981,M,9,M40,1,12.010,3:39:22 h,1730063,22ème Trail Du Ventoux 46 km (FRA),10.03.2024,46km  trail race,,
1,8:57:00 h,"Hardwick, Kirk",,GBR,1978,M,1,M45,1,8.991,8:20:01 h,529733,Welcome Way Ultramarathon 50mi (GBR),09.03.2024,50mi  trail race,,
3,5:26:00 h,"Lazenby, Richard",,GBR,1984,M,3,M35,1,10.071,5:18:15 h,1559489,Welcome Way Ultramarathon 34mi (GBR),09.03.2024,34mi  trail race,,
224,5:26:39 h,,,GBR,1974,M,191,M45,27,8.266,4:54:00 h,907141,Six Foot Track (AUS),09.03.2024,45km  trail race,"Ford, Simon",
391,5:52:08 h,,,AUS,1963,M,312,M60,7,7.668,4:46:47 h,38140,Six Foot Track (AUS),09.03.2024,45km  trail race,"Worswick, Jonathan",
43,7:36:03 h,"Schneekloth, Martin","*Huntsville, AL",GER,1971,M,37,M50,2,6.578,6:39:50 h,121881,23th Rock/Creek StumpJump 50K (USA),09.03.2024,50km  trail race,,
9,7:23:18 h,"Medgyessy, Gergely",,HUN,1970,M,8,M50,2,8.987,6:25:12 h,120536,Bükki Kilátások - Hard (HUN),02.03.2024,66.4km  trail race,,
100,16:25:24 h,"Atkinson, Kalani",,AUS,,F,33,#NA,73,3.044,16:25:24 h,2153459,8th Gone Nuts 50 Km Ultra (AUS),02.03.2024,50km  trail race,,
54,51.499 km,"Schneekloth, Martin",,GER,1971,M,36,M50,5,4.292,58.742 km,121881,18th Delano Park 12 Hour Run (USA),02.03.2024,12h  road race,,
4,8:40:52 h,,Tring RC,GBR,1994,M,4,M23,3,9.676,8:40:52 h,1657873,Transgrancanaria Advanced 84 km (ESP),24.02.2024,84km  trail race,"Chatfield, Hugh",
360,26:40:38 h,,Highgate Harriers,GBR,1976,M,319,M45,57,4.723,24:13:04 h,109294,Transgrancanaria 126 km (ESP),23.02.2024,126km  trail race,"Tomlinson, Samuel",
63,5:02:40 h,,Roundhay Runners,GBR,1984,F,11,W40,2,9.119,4:55:28 h,1176021,Transgrancanaria Maratón 46 km (ESP),23.02.2024,46km  trail race,"Kaars Sijpesteijn, Katie",
8,8:14:00 h,"Nelson, Barbara",,USA,1965,F,4,W55,1,6.073,6:34:34 h,2004832,6th Grandmaster Ultras 50 Km Run (USA),17.-18.02.2024,50km  trail race,,
12,7:53:33 h,"Medgyessy, Gergely",,HUN,1970,M,12,M50,2,7.159,6:51:29 h,120536,Kiss Péter Emléktúra 57 km (HUN),17.02.2024,56.5km  trail race,,
197,15:04:54 h,,,NZL,1991,M,151,M23,58,6.763,15:04:44 h,1182755,15th Tarawera 100 km Ultramarathon (NZL),17.-18.02.2024,102km  trail race,"Girvan, Matthew",
