Rank,Performance,"Surname, first name",Club,Nat.,YOB,M/F,Rank M/F,Cat,Cat. Rank,Avg.Speed km/h,Age graded performance,Runner ID,Event,Date,Distance,"Original name
Surname, first name",hours
17,20:11:30 h,,,GBR,1994,M,15,M23,4,8.172,20:11:30 h,1851361,6th Tarawera 100 Mile Endurance Run (NZL),16.-17.02.2024,165km  trail race,"Sabey, Tom",
1,248.122 km,"Cromie, Peter",,GBR,1972,M,1,M50,1,,280.522 km,799091,7. Last One Standing Florence Court (GBR),10.02.2024,37h  Backyard Ultra,,37
13,6:21:58 h,"Schneekloth, Martin","*Huntsville, AL",GER,1971,M,13,M50,2,7.854,5:34:53 h,121881,7th Eagle Ridge 50km (USA),10.02.2024,50km  trail race,,
6,8:06:58 h,"Denby, Mark",Keighley & Craven AC,GBR,1973,M,6,M50,1,8.923,7:14:29 h,385972,Pendle Way In A Day  45mi (GBR),03.02.2024,45mi  trail race,,
9,8:14:23 h,"Parkinson, Charlie",Rossendale Harriers & AC,GBR,1989,M,9,M23,3,8.789,8:12:57 h,1426875,Pendle Way In A Day  45mi (GBR),03.02.2024,45mi  trail race,,
10,8:14:33 h,"Richardson, Ewan",Northumberland Fell Ru...,GBR,,M,10,#NA,2,8.786,8:14:33 h,1639673,Pendle Way In A Day  45mi (GBR),03.02.2024,45mi  trail race,,
34,9:37:30 h,"Lynch, Fiona",Calder Valley Fell Run...,IRL,1974,F,4,W45,1,7.524,8:38:43 h,782032,Pendle Way In A Day  45mi (GBR),03.02.2024,45mi  trail race,,
35,9:37:32 h,"Buchan, Helen",Calder Valley Fell Run...,GBR,,F,5,#NA,9,7.524,9:37:32 h,1468579,Pendle Way In A Day  45mi (GBR),03.02.2024,45mi  trail race,,
41,9:46:58 h,"Wilding, Michael",Darwen Dashers RC,GBR,1969,M,33,M50,3,7.403,8:25:27 h,505501,Pendle Way In A Day  45mi (GBR),03.02.2024,45mi  trail race,,
46,9:53:11 h,"Clithero, Ben",Dronfield RC,GBR,1978,M,38,M45,6,7.325,9:12:19 h,1385592,Pendle Way In A Day  45mi (GBR),03.02.2024,45mi  trail race,,
3,4:54:53 h,"Schneekloth, Martin","*Huntsville, AL",GER,1971,M,3,M50,1,10.174,4:18:32 h,121881,1st Railway 50k (USA),03.02.2024,50km  road race,,
8,6:08:55 h,"Woodall, Robert","*Sims, NC",USA,1977,M,7,M45,1,8.132,5:40:40 h,864263,6th South Mountains Marathons (USA),27.01.2024,50km  trail race,,
105,6:51:39 h,"Schneekloth, Martin","*Huntsville, AL",GER,1971,M,97,M50,11,7.288,6:00:54 h,121881,30th Mountain Mist 50k (USA),27.01.2024,50km  trail race,,
4,5:44:28 h,"Watts, Steven","*Lebanon, OH",USA,1988,M,4,M35,1,8.709,5:42:35 h,2072874,3rd Lake of the Woods 50 km Race (USA),20.01.2024,50km  road race,,
33,3d 15:38:22 h,"de Grandis, Carmine",,ITA,1971,M,27,M50,9,2.938,3d 04:50:01 h,234418,3rd Winter Spine Challenger North (GBR),15.-19.01.2024,160mi  trail race,,
3,3d 13:47:12 h,"Rawlik, Konrad",,POL,1983,M,3,M40,1,5.028,3d 11:10:44 h,184810,12th Winter Spine Race (GBR),14.-21.01.2024,268mi  trail race,,
4,3d 15:48:47 h,"Zinis, Douglas",,GBR,1980,M,4,M40,2,4.912,3d 11:07:58 h,1203095,12th Winter Spine Race (GBR),14.-21.01.2024,268mi  trail race,,
16,4d 15:40:56 h,"Bisson, Elaine",,GBR,1978,F,4,W45,1,3.862,4d 08:55:32 h,1034220,12th Winter Spine Race (GBR),14.-21.01.2024,268mi  trail race,,
16,4d 15:40:56 h,"Spinks, Nicky",,GBR,1967,F,4,W55,1,3.862,3d 19:40:08 h,98284,12th Winter Spine Race (GBR),14.-21.01.2024,268mi  trail race,,
1,7:28:09 h,"Allison, Rupert",,GBR,1990,M,1,M23,1,9.911,7:27:37 h,1409965,3rd Winter Spine Sprint (GBR),13.-14.01.2024,46mi  trail race,,
3,37:12:02 h,"Swindells, Jack",,GBR,1980,M,3,M40,1,4.672,35:13:04 h,467906,7th Winter Spine MRT Challenge South (GBR),13.-15.01.2024,108mi  trail race,,
4,46:05:08 h,"Oxley, Simon",,GBR,1959,M,4,M60,1,3.771,36:05:56 h,505536,7th Winter Spine MRT Challenge South (GBR),13.-15.01.2024,108mi  trail race,,
3,29:51:07 h,"Haigh, Paul",,GBR,1977,M,3,M45,1,5.822,27:33:56 h,1701713,12th Winter Spine Challenger South (GBR),13.-15.01.2024,108mi  trail race,,
18,35:01:42 h,"Loach, Alexander",,GBR,1979,M,17,M40,6,4.962,32:53:18 h,566402,12th Winter Spine Challenger South (GBR),13.-15.01.2024,108mi  trail race,,
26,37:34:41 h,"Garside, Richard",,GBR,1977,M,22,M45,4,4.625,34:41:59 h,1822387,12th Winter Spine Challenger South (GBR),13.-15.01.2024,108mi  trail race,,
5,9:32:58 h,,,GBR,1970,M,5,M50,1,5.236,8:17:52 h,768236,31th Green Power Hike - 50km Quertet (HKG),13.01.2024,50km  trail race,"Barker, Peter",
4,160.944 km,,,AUS,1989,M,3,M23,1,,161.412 km,1031993,2nd Taipei Backyard Ultra (TPE),13.-14.01.2024,34h  Backyard Ultra,"Rowlinson, Benjamin",24
